Temperature[K] Pressure[Pascal] Density[kg/m3] SD-Density[kg/m3]
250 40e5 1.052580e+03 2.157046e+01
250 60e5 1.056149e+03 1.000366e+01
250 80e5 1.069346e+03 1.899107e+01
250 100e5 1.056887e+03 1.616460e+01
250 120e5 1.071423e+03 1.357909e+01
250 140e5 1.070158e+03 2.303588e+01
250 160e5 1.093907e+03 2.517650e+00
250 180e5 1.083703e+03 5.646014e+00
250 200e5 1.091442e+03 3.638688e+00
