Temperature[K] Pressure[Pascal] Density[kg/m3] SD-Density[kg/m3]
250 40e5 1.038035e+03 7.693004e+00
250 60e5 1.053396e+03 1.226227e+01
250 80e5 1.059594e+03 2.365129e+01
250 100e5 1.067832e+03 9.206289e+00
250 120e5 1.073982e+03 1.926067e+01
250 140e5 1.088463e+03 1.876236e+01
250 160e5 1.096287e+03 1.378469e+01
250 180e5 1.100407e+03 1.886263e+01
250 200e5 1.099967e+03 1.264830e+01
