cycle density energy
0 4.999951e+02 -9.448652e+04
100 6.329854e+02 -1.295016e+05
200 6.683667e+02 -2.013940e+05
300 6.797052e+02 -2.090233e+05
400 7.861775e+02 -2.079930e+05
500 9.252181e+02 -2.285144e+05
600 9.812307e+02 -2.610905e+05
700 1.052080e+03 -2.743891e+05
800 1.066898e+03 -3.050980e+05
900 1.094135e+03 -3.114702e+05
0 1.085670e+03 -3.153987e+05
100 1.078000e+03 -3.164530e+05
200 1.076078e+03 -3.061146e+05
300 1.104251e+03 -3.120929e+05
400 1.069662e+03 -3.170813e+05
500 1.061832e+03 -3.021611e+05
600 1.056548e+03 -3.020743e+05
700 1.074471e+03 -3.020854e+05
800 1.075014e+03 -3.070848e+05
900 1.069551e+03 -3.019015e+05
1000 1.092319e+03 -3.034531e+05
1100 1.041193e+03 -3.155137e+05
1200 1.007130e+03 -3.026121e+05
1300 1.004445e+03 -2.882047e+05
1400 1.079614e+03 -2.858456e+05
1500 1.063935e+03 -3.044665e+05
1600 1.047366e+03 -3.086146e+05
1700 1.052269e+03 -2.982816e+05
1800 1.029993e+03 -3.001820e+05
1900 1.027155e+03 -3.009882e+05
2000 1.046463e+03 -3.028239e+05
2100 1.016999e+03 -2.960258e+05
2200 1.067406e+03 -2.934448e+05
2300 1.076303e+03 -3.092753e+05
2400 1.019720e+03 -3.032040e+05
2500 1.066501e+03 -2.963669e+05
2600 1.072380e+03 -3.051747e+05
2700 1.053894e+03 -3.005901e+05
2800 1.042916e+03 -2.957094e+05
2900 1.024241e+03 -3.113786e+05
3000 1.043215e+03 -2.978924e+05
3100 1.047270e+03 -2.962714e+05
3200 1.057326e+03 -2.972367e+05
3300 1.061001e+03 -3.109983e+05
3400 1.077673e+03 -3.081250e+05
3500 1.081250e+03 -3.128024e+05
3600 1.077291e+03 -3.186337e+05
3700 1.058267e+03 -3.129731e+05
3800 1.079221e+03 -3.027341e+05
3900 1.088153e+03 -3.142977e+05
4000 1.047420e+03 -3.082219e+05
4100 1.059788e+03 -3.059880e+05
4200 1.081938e+03 -3.089304e+05
4300 1.011333e+03 -3.153084e+05
4400 9.940385e+02 -2.953497e+05
4500 9.705159e+02 -2.863235e+05
4600 1.015550e+03 -2.835063e+05
4700 1.012260e+03 -2.882744e+05
4800 1.037448e+03 -2.851201e+05
4900 1.004068e+03 -3.009779e+05
