Temperature[K] Pressure[Pascal] Density[kg/m3] SD-Density[kg/m3]
250 40e5 1.051024e+03 2.587570e+01
250 60e5 1.062875e+03 2.516619e+01
250 80e5 1.064841e+03 2.130167e+01
250 100e5 1.059447e+03 1.225913e+01
250 120e5 1.066549e+03 1.494221e+01
250 140e5 1.084889e+03 2.189582e+01
250 160e5 1.087076e+03 2.235180e+01
250 180e5 1.087721e+03 5.586595e+00
250 200e5 1.101309e+03 1.609345e+01
