cycle density energy
0 5.736697e+02 -9.529407e+04
100 6.360296e+02 -1.351772e+05
200 6.636721e+02 -2.155076e+05
300 6.686020e+02 -1.971438e+05
400 8.024296e+02 -2.096302e+05
500 7.820848e+02 -2.559614e+05
600 7.049088e+02 -2.412724e+05
700 7.624657e+02 -1.990871e+05
800 8.379521e+02 -2.155262e+05
900 8.709591e+02 -2.349096e+05
1000 8.532631e+02 -2.639476e+05
1100 7.895645e+02 -2.512403e+05
1200 8.285409e+02 -2.087328e+05
1300 9.021245e+02 -2.114967e+05
1400 9.268365e+02 -2.602666e+05
1500 8.979104e+02 -2.485662e+05
1600 8.978181e+02 -2.426092e+05
1700 8.191288e+02 -2.297715e+05
1800 8.973910e+02 -2.080281e+05
1900 8.211013e+02 -2.468378e+05
0 8.834234e+02 -2.090147e+05
100 9.535936e+02 -2.292999e+05
200 9.576753e+02 -2.572685e+05
300 9.351419e+02 -2.409338e+05
400 9.046433e+02 -2.111885e+05
500 9.229925e+02 -2.092064e+05
600 8.782155e+02 -2.260488e+05
700 8.926461e+02 -2.082523e+05
800 9.493834e+02 -2.253365e+05
900 9.487802e+02 -2.527994e+05
1000 8.731699e+02 -2.242106e+05
1100 8.594254e+02 -2.282928e+05
1200 9.151680e+02 -2.207134e+05
1300 8.192505e+02 -2.408004e+05
1400 9.098586e+02 -1.953776e+05
1500 8.294567e+02 -2.473517e+05
1600 8.897331e+02 -2.095173e+05
1700 8.568291e+02 -2.511985e+05
1800 9.260646e+02 -2.258594e+05
1900 9.571382e+02 -2.659270e+05
2000 9.166038e+02 -2.544955e+05
2100 9.218116e+02 -2.345875e+05
2200 9.100906e+02 -2.259617e+05
2300 8.723268e+02 -2.216356e+05
2400 8.959084e+02 -2.061082e+05
2500 9.353065e+02 -2.231072e+05
2600 9.102456e+02 -2.402682e+05
2700 8.166939e+02 -2.273321e+05
2800 8.493088e+02 -2.115083e+05
2900 7.874724e+02 -2.378023e+05
3000 8.844534e+02 -2.094120e+05
3100 8.462791e+02 -2.403770e+05
3200 9.240828e+02 -2.285106e+05
3300 9.304229e+02 -2.651019e+05
3400 7.960518e+02 -2.750964e+05
3500 8.831758e+02 -1.969148e+05
3600 9.163041e+02 -2.227311e+05
3700 8.573717e+02 -2.354896e+05
3800 8.538857e+02 -2.519514e+05
3900 8.820434e+02 -2.389687e+05
4000 8.832917e+02 -2.411939e+05
4100 8.721245e+02 -2.396396e+05
4200 8.768464e+02 -2.210345e+05
4300 8.896983e+02 -2.310450e+05
4400 8.719412e+02 -2.506211e+05
4500 9.603236e+02 -2.281529e+05
4600 9.210419e+02 -2.836047e+05
4700 8.822732e+02 -2.465802e+05
4800 9.357378e+02 -2.302268e+05
4900 9.056358e+02 -2.645642e+05
5000 9.146588e+02 -2.450080e+05
5100 9.329648e+02 -2.440457e+05
5200 9.209137e+02 -2.551800e+05
5300 7.446300e+02 -2.661311e+05
5400 8.331028e+02 -1.628844e+05
5500 8.371884e+02 -2.360567e+05
5600 8.988596e+02 -2.356170e+05
5700 8.872785e+02 -2.670150e+05
5800 8.014906e+02 -2.689763e+05
5900 8.105800e+02 -2.131514e+05
