cycle density energy
0 5.926117e+02 -1.017343e+05
100 7.915459e+02 -1.225412e+05
200 9.370081e+02 -3.101166e+05
300 1.036258e+03 -3.558300e+05
400 1.062036e+03 -3.781686e+05
500 1.065940e+03 -3.742019e+05
600 1.054224e+03 -3.881463e+05
700 1.100045e+03 -3.882401e+05
800 1.120118e+03 -4.025498e+05
900 1.103301e+03 -4.101087e+05
1000 1.137552e+03 -3.990505e+05
1100 1.141729e+03 -4.052506e+05
1200 1.169273e+03 -4.077889e+05
1300 1.143618e+03 -4.179300e+05
1400 1.174618e+03 -4.091148e+05
1500 1.165969e+03 -4.252612e+05
1600 1.164723e+03 -4.327348e+05
1700 1.167765e+03 -4.233071e+05
1800 1.158335e+03 -4.254143e+05
1900 1.144410e+03 -4.181254e+05
0 1.152092e+03 -4.149007e+05
100 1.167853e+03 -4.092743e+05
200 1.181150e+03 -4.362206e+05
300 1.141123e+03 -4.283285e+05
400 1.153481e+03 -4.035594e+05
500 1.165579e+03 -4.124972e+05
600 1.128450e+03 -4.115398e+05
700 1.145227e+03 -3.984686e+05
800 1.165322e+03 -4.135763e+05
900 1.142093e+03 -4.179756e+05
1000 1.176450e+03 -4.039115e+05
1100 1.187769e+03 -4.230415e+05
1200 1.158880e+03 -4.321861e+05
1300 1.135463e+03 -4.136777e+05
1400 1.125754e+03 -4.094968e+05
1500 1.153317e+03 -3.962526e+05
1600 1.147257e+03 -4.138346e+05
1700 1.167005e+03 -4.187614e+05
1800 1.164473e+03 -4.228161e+05
1900 1.154344e+03 -4.151617e+05
2000 1.162606e+03 -4.196117e+05
2100 1.168258e+03 -4.240151e+05
2200 1.158314e+03 -4.267238e+05
2300 1.170659e+03 -4.224528e+05
2400 1.105176e+03 -4.240840e+05
2500 1.129947e+03 -3.941612e+05
2600 1.132320e+03 -3.973144e+05
2700 1.158508e+03 -4.069983e+05
2800 1.163702e+03 -4.177555e+05
2900 1.171360e+03 -4.152542e+05
3000 1.163311e+03 -4.306513e+05
3100 1.148615e+03 -4.139436e+05
3200 1.166575e+03 -4.070430e+05
3300 1.154486e+03 -4.189955e+05
3400 1.173965e+03 -4.179167e+05
3500 1.178729e+03 -4.295278e+05
3600 1.200806e+03 -4.358246e+05
3700 1.192440e+03 -4.312649e+05
3800 1.156405e+03 -4.345470e+05
3900 1.185471e+03 -4.224785e+05
4000 1.155072e+03 -4.287317e+05
4100 1.175425e+03 -4.047696e+05
4200 1.149666e+03 -4.241165e+05
4300 1.142670e+03 -4.054448e+05
4400 1.189513e+03 -4.036898e+05
4500 1.171668e+03 -4.360348e+05
4600 1.140748e+03 -4.269483e+05
4700 1.172538e+03 -4.108999e+05
4800 1.158467e+03 -4.196936e+05
4900 1.162434e+03 -4.134800e+05
5000 1.183093e+03 -4.202156e+05
5100 1.182469e+03 -4.452302e+05
5200 1.175279e+03 -4.261331e+05
5300 1.194703e+03 -4.258086e+05
5400 1.187637e+03 -4.349259e+05
5500 1.164873e+03 -4.290085e+05
5600 1.171675e+03 -4.342853e+05
5700 1.180269e+03 -4.308007e+05
5800 1.178432e+03 -4.330634e+05
5900 1.149536e+03 -4.391300e+05
