cycle density energy
0 8.388567e+01 -5.881918e+03
100 1.392616e+01 -4.524908e+03
200 0.000000e+00 -6.334956e+01
300 4.001772e+00 0.000000e+00
400 1.177963e+01 -1.486080e+00
500 3.949114e+00 -4.704602e+01
600 5.942881e+00 -1.257866e+00
700 7.759847e+00 -1.090112e+00
800 5.784931e+00 -1.438974e+00
900 1.349130e+01 -2.689926e+00
1000 1.519862e+01 -4.858339e+00
1100 2.076374e+01 -2.976358e+01
1200 1.317573e+01 -1.209753e+03
1300 2.075020e+01 -1.994689e+01
1400 1.129148e+01 -1.040909e+02
1500 5.689790e+00 -4.514569e+01
1600 1.132911e+01 -1.334806e+00
1700 1.318239e+01 -6.717083e+00
1800 2.064678e+01 -1.157323e+02
1900 2.074454e+01 -2.612381e+02
0 1.884004e+01 -1.496704e+03
100 9.446179e+00 -1.663905e+01
200 1.682046e+01 -6.580509e+01
300 2.261869e+01 -4.107480e+02
400 2.436117e+01 -8.698420e+02
500 1.875487e+01 -1.499495e+03
600 2.271900e+01 -1.378139e+01
700 2.258687e+01 -5.627388e+02
800 1.505363e+01 -9.407380e+02
900 2.261114e+01 -3.549376e+02
1000 1.499819e+01 -1.081939e+03
1100 7.518935e+00 -6.933104e+01
1200 1.322212e+01 -3.979904e+00
1300 1.520993e+01 -3.500232e+01
1400 2.088082e+01 -2.664914e+02
1500 1.511511e+01 -9.681394e+02
1600 1.327539e+01 -6.552454e+01
1700 1.504515e+01 -3.698546e+01
1800 1.876174e+01 -1.175131e+01
1900 1.136954e+01 -1.874409e+02
2000 7.582828e+00 -4.386611e+02
2100 1.131556e+01 -2.568779e+00
2200 9.477110e+00 -2.189612e+02
2300 1.502686e+01 -4.977103e+02
2400 2.477815e+01 -3.474184e+01
2500 2.270698e+01 -1.330230e+03
2600 1.522705e+01 -3.474396e+01
2700 1.135320e+01 -7.447738e+02
2800 1.506183e+01 -1.544916e+01
2900 9.434982e+00 -4.335909e+02
3000 1.691939e+01 -9.087949e+01
3100 2.071467e+01 -5.867471e+02
3200 1.504731e+01 -5.208669e+02
3300 1.696992e+01 -1.235497e+02
3400 1.501045e+01 -5.223606e+01
3500 1.127611e+01 -4.218691e+02
3600 2.036780e+01 -1.060222e+01
3700 1.675995e+01 -5.318176e+02
3800 1.695884e+01 -3.657651e+02
3900 1.310568e+01 -6.493833e+00
4000 2.251181e+01 -2.089342e+01
4100 1.685176e+01 -4.163451e+02
4200 2.255280e+01 -3.410806e+02
4300 2.260666e+01 -1.032618e+03
4400 9.378494e+00 -2.221080e+01
4500 1.502184e+01 -1.613283e+00
4600 2.262161e+01 -1.030921e+02
4700 2.055038e+01 -3.218445e+02
4800 2.614947e+01 -1.988215e+02
4900 1.692437e+01 -1.093288e+03
5000 1.496579e+01 -4.842984e+02
5100 2.048487e+01 -2.040005e+01
5200 1.869528e+01 -9.891403e+02
5300 1.491034e+01 -1.185052e+02
5400 1.494391e+01 -6.525135e+00
5500 3.800819e+00 -3.049283e+01
5600 7.559360e+00 -8.818647e-01
5700 1.127038e+01 -1.603566e+02
5800 9.412689e+00 -3.472767e+00
5900 2.439340e+01 -8.091333e+00
