Temperature[K] Density-s0[kg/m3] SD-Density-s0[kg/m3] Density-s1[kg/m3] SD-Density-s1[kg/m3] Psat-s0[bar] SD-Psat-s0[bar]
220 1.594032e+01 1.801537e+00 1.163851e+03 1.166653e+01 6.006123e+00 6.359611e-01
230 2.057790e+01 3.521013e+00 1.117483e+03 1.653595e+01 8.203221e+00 1.657108e+00
240 3.677221e+01 1.032231e+01 1.103526e+03 7.538392e+00 1.434872e+01 3.415085e+00
250 4.133085e+01 5.107782e+00 1.039612e+03 1.460908e+01 1.684815e+01 2.118740e+00
260 6.078093e+01 7.067414e+00 9.989930e+02 1.736390e+01 2.351361e+01 2.629882e+00
270 7.789800e+01 1.679820e+00 9.482072e+02 1.325043e+01 3.049422e+01 7.079922e-01
280 1.115207e+02 1.742228e+01 8.929570e+02 2.025308e+01 4.156717e+01 4.749070e+00
