Temperature[K] Pressure[Pascal] Density[kg/m3]
250 40e5 1.061460e+03
250 60e5 1.060582e+03
250 80e5 1.070475e+03
250 100e5 1.078557e+03
250 120e5 1.067257e+03
250 140e5 1.076931e+03
250 160e5 1.085959e+03
250 180e5 1.084597e+03
250 200e5 1.100855e+03
