cycle density energy
0 5.411979e+02 -6.015558e+04
100 6.992446e+02 -1.355312e+05
200 8.932906e+02 -2.115377e+05
300 9.540015e+02 -2.557826e+05
400 9.952488e+02 -2.755029e+05
500 1.024669e+03 -2.863657e+05
600 1.043787e+03 -2.969133e+05
700 1.032003e+03 -3.037170e+05
800 1.053926e+03 -2.995501e+05
900 1.075665e+03 -3.045137e+05
0 1.040898e+03 -3.045531e+05
100 1.102184e+03 -2.994140e+05
200 1.094499e+03 -3.260246e+05
300 1.060299e+03 -3.216488e+05
400 1.085048e+03 -3.062818e+05
500 1.046992e+03 -3.061504e+05
600 1.071154e+03 -3.052325e+05
700 1.049808e+03 -3.074490e+05
800 1.070163e+03 -3.068022e+05
900 1.082634e+03 -3.108840e+05
1000 1.078742e+03 -3.176049e+05
1100 1.053125e+03 -3.147282e+05
1200 1.007139e+03 -3.005069e+05
1300 9.920590e+02 -2.807476e+05
1400 1.001247e+03 -2.786308e+05
1500 1.060494e+03 -2.844165e+05
1600 1.091305e+03 -3.011001e+05
1700 1.090964e+03 -3.169785e+05
1800 1.078195e+03 -3.175750e+05
1900 1.146887e+03 -3.177714e+05
2000 1.106842e+03 -3.320582e+05
2100 1.113741e+03 -3.219819e+05
2200 1.051885e+03 -3.302441e+05
2300 1.077502e+03 -3.056763e+05
2400 1.065983e+03 -3.125478e+05
2500 1.040860e+03 -3.144811e+05
2600 1.039054e+03 -2.982177e+05
2700 1.080216e+03 -2.897230e+05
2800 1.075921e+03 -3.081399e+05
2900 1.022550e+03 -3.054292e+05
3000 1.073303e+03 -2.961710e+05
3100 1.072138e+03 -3.130026e+05
3200 1.071275e+03 -3.121453e+05
3300 1.060448e+03 -3.102654e+05
3400 1.058103e+03 -3.083831e+05
3500 1.083785e+03 -3.081305e+05
3600 1.057117e+03 -3.134686e+05
3700 1.076725e+03 -2.986235e+05
3800 1.076013e+03 -3.122695e+05
3900 1.079526e+03 -3.140457e+05
4000 1.101543e+03 -3.145054e+05
4100 1.067446e+03 -3.210826e+05
4200 1.054811e+03 -3.131392e+05
4300 1.069454e+03 -3.059467e+05
4400 1.049510e+03 -3.102213e+05
4500 1.051484e+03 -3.044932e+05
4600 1.066062e+03 -3.017904e+05
4700 1.032389e+03 -3.036461e+05
4800 1.013264e+03 -2.930850e+05
4900 1.035728e+03 -2.889404e+05
