Temperature[K] Density-s0[kg/m3] SD-Density-s0[kg/m3] Density-s1[kg/m3] SD-Density-s1[kg/m3] Psat-s0[bar] SD-Psat-s0[bar]
220 1.427380e+01 3.928625e+00 1.149986e+03 1.269166e+01 5.652493e+00 1.475551e+00
230 2.201679e+01 5.412504e+00 1.125391e+03 1.749646e+01 8.455963e+00 1.597395e+00
240 2.972973e+01 4.493335e+00 1.090261e+03 1.254826e+01 1.211565e+01 1.607518e+00
250 3.868996e+01 9.247121e+00 1.036032e+03 2.721755e+01 1.554078e+01 3.070443e+00
260 5.830790e+01 6.584565e+00 1.001516e+03 1.037022e+01 2.265596e+01 2.605112e+00
270 7.910009e+01 7.918080e+00 9.568293e+02 2.398048e+01 2.980218e+01 3.119869e+00
280 1.044157e+02 2.109473e+01 8.890953e+02 1.954789e+01 4.063243e+01 5.830469e+00
