cycle density energy
0 6.339638e+02 -6.393731e+04
100 8.154338e+02 -1.470309e+05
200 9.326602e+02 -3.029025e+05
300 9.811819e+02 -3.344620e+05
400 1.033376e+03 -3.521638e+05
500 1.076639e+03 -3.735162e+05
600 9.969304e+02 -3.790894e+05
700 1.065681e+03 -3.590348e+05
800 1.060641e+03 -3.794528e+05
900 1.045371e+03 -3.815809e+05
0 9.926240e+02 -3.770408e+05
100 1.021578e+03 -3.540971e+05
200 1.062169e+03 -3.640081e+05
300 1.047872e+03 -3.808244e+05
400 1.039154e+03 -3.747638e+05
500 1.049140e+03 -3.672546e+05
600 1.037137e+03 -3.696420e+05
700 1.053014e+03 -3.710310e+05
800 1.024387e+03 -3.759177e+05
900 1.045501e+03 -3.627446e+05
1000 1.051320e+03 -3.711294e+05
1100 1.053300e+03 -3.746422e+05
1200 1.072963e+03 -3.777167e+05
1300 1.071050e+03 -3.886018e+05
1400 1.070977e+03 -3.962304e+05
1500 1.045751e+03 -3.811106e+05
1600 1.058489e+03 -3.763867e+05
1700 1.105966e+03 -3.842998e+05
1800 1.076333e+03 -3.974684e+05
1900 1.045053e+03 -3.775082e+05
2000 1.078278e+03 -3.828265e+05
2100 1.025794e+03 -3.891069e+05
2200 1.077864e+03 -3.721024e+05
2300 1.110992e+03 -3.959040e+05
2400 1.089911e+03 -3.948725e+05
2500 1.090732e+03 -3.853301e+05
2600 1.026682e+03 -3.923610e+05
2700 1.038056e+03 -3.629927e+05
2800 1.086513e+03 -3.720632e+05
2900 1.074000e+03 -3.898211e+05
3000 1.049617e+03 -3.856510e+05
3100 1.055767e+03 -3.874966e+05
3200 1.043056e+03 -3.836351e+05
3300 1.049088e+03 -3.777360e+05
3400 1.039407e+03 -3.731804e+05
3500 1.057565e+03 -3.810744e+05
3600 1.029198e+03 -3.738865e+05
3700 1.061161e+03 -3.616896e+05
3800 1.081125e+03 -3.789102e+05
3900 1.009085e+03 -3.855290e+05
4000 1.012937e+03 -3.528126e+05
4100 1.013966e+03 -3.575161e+05
4200 1.071888e+03 -3.674467e+05
4300 1.090387e+03 -3.794659e+05
4400 1.052865e+03 -3.840412e+05
4500 1.047423e+03 -3.743752e+05
4600 1.052890e+03 -3.757147e+05
4700 1.054857e+03 -3.789800e+05
4800 1.077274e+03 -3.800903e+05
4900 1.056081e+03 -3.865747e+05
