Temperature[K] Pressure[Pascal] Density[kg/m3] SD-Density[kg/m3]
250 40e5 1.057817e+03 2.225395e+01
250 60e5 1.051132e+03 1.671131e+01
250 80e5 1.074286e+03 1.415943e+01
250 100e5 1.068642e+03 1.025979e+01
250 120e5 1.073028e+03 9.391466e+00
250 140e5 1.086093e+03 1.228301e+01
250 160e5 1.077623e+03 1.395260e+01
250 180e5 1.089953e+03 1.150162e+01
250 200e5 1.106504e+03 1.091518e+01
