Temperature[K] Pressure[Pascal] Density[kg/m3] SD-Density[kg/m3]
250 40e5 1.045312e+03 3.359092e+01
250 60e5 1.059332e+03 2.228343e+01
250 80e5 1.051580e+03 1.305182e+01
250 100e5 1.054611e+03 2.004776e+01
250 120e5 1.089323e+03 1.836688e+01
250 140e5 1.083951e+03 1.770099e+01
250 160e5 1.075214e+03 1.163246e+01
250 180e5 1.105534e+03 2.776807e+00
250 200e5 1.094678e+03 2.011195e+01
