cycle density energy
0 7.576770e+01 -5.881918e+03
100 1.211422e+01 -4.246442e+03
200 6.712801e+00 -6.612850e+01
300 4.375775e+00 -9.892054e+00
400 0.000000e+00 -7.081329e+00
500 0.000000e+00 -1.918775e+00
600 1.169998e+01 -2.642955e+00
700 1.146790e+01 -1.721050e+02
800 1.327511e+01 -3.045640e+02
900 1.145918e+01 -2.769269e+02
1000 1.518388e+01 -6.475604e+00
1100 1.696791e+01 -9.496376e+00
1200 1.681665e+01 -4.058951e+02
1300 1.130752e+01 -1.154326e+02
1400 9.467543e+00 -2.324689e+02
1500 1.322477e+01 -4.270271e+02
1600 1.714518e+01 -4.023495e+01
1700 1.143446e+01 -1.065136e+03
1800 1.699655e+01 -5.238219e+01
1900 1.500105e+01 -4.781300e+02
0 1.876175e+01 -5.146747e+01
100 1.694144e+01 -4.895972e+02
200 1.696655e+01 -5.273525e+01
300 1.123776e+01 -5.257674e+02
400 1.703821e+01 -5.123600e+00
500 1.894261e+01 -2.405201e+01
600 1.136576e+01 -8.108606e+02
700 1.522664e+01 -6.154540e+02
800 1.321300e+01 -5.439928e+01
900 1.506826e+01 -5.714761e+02
1000 1.505983e+01 -3.123940e+01
1100 1.872773e+01 -2.024429e+01
1200 1.875420e+01 -5.529133e+02
1300 1.307279e+01 -1.530659e+02
1400 1.325170e+01 -5.082549e+01
1500 1.502643e+01 -6.679014e+02
1600 1.692563e+01 -1.481234e+01
1700 2.071802e+01 -8.137925e+01
1800 1.502076e+01 -4.248387e+02
1900 2.059252e+01 -1.467084e+01
2000 1.510093e+01 -5.968448e+02
2100 1.869803e+01 -6.304342e+00
2200 1.119374e+01 -6.131548e+01
2300 1.306745e+01 -8.799795e+00
2400 1.688401e+01 -1.625164e+01
2500 9.475780e+00 -4.326315e+02
2600 1.876642e+01 -1.255673e+00
2700 1.691797e+01 -9.950914e+02
2800 1.508466e+01 -4.792883e+02
2900 1.323179e+01 -1.206290e+03
3000 7.529072e+00 -1.468545e+01
3100 7.589192e+00 -4.387333e+01
3200 1.334847e+01 -3.103987e+02
3300 5.710641e+00 -2.769792e+02
3400 1.144345e+01 -1.489726e+00
3500 1.328177e+01 -8.294320e+00
3600 1.490902e+01 -2.005332e+01
3700 2.248000e+01 -6.968193e+01
3800 1.117316e+01 -6.359508e+02
3900 2.430025e+01 -1.000230e+01
4000 1.675317e+01 -2.657277e+02
4100 1.489068e+01 -1.011761e+01
4200 1.306069e+01 -3.238052e+02
4300 1.686176e+01 -6.370212e+01
4400 2.421302e+01 -1.090463e+03
4500 2.243391e+01 -3.839059e+02
4600 1.505692e+01 -9.240553e+02
4700 2.068722e+01 -3.779242e+02
4800 2.424773e+01 -9.158861e+01
4900 1.498814e+01 -5.621275e+02
5000 9.432243e+00 -2.633666e+01
5100 9.408120e+00 -7.011106e+00
5200 5.649372e+00 -4.735256e+00
5300 9.388170e+00 -2.130817e+00
5400 9.394724e+00 -3.134893e+01
5500 1.315476e+01 -1.078923e+01
5600 2.253231e+01 -1.907084e+02
5700 2.417658e+01 -2.188019e+02
5800 2.244365e+01 -4.116573e+02
5900 2.785887e+01 -7.460957e+02
