cycle density energy
0 6.007296e+02 -9.138785e+04
100 7.506979e+02 -1.199612e+05
200 8.453292e+02 -3.018765e+05
300 8.793099e+02 -3.286457e+05
400 9.819044e+02 -3.468438e+05
500 1.066580e+03 -3.711736e+05
600 1.078310e+03 -3.877773e+05
700 1.130144e+03 -3.868399e+05
800 1.147317e+03 -4.068954e+05
900 1.132231e+03 -4.096323e+05
1000 1.140290e+03 -4.149489e+05
1100 1.154832e+03 -4.149946e+05
1200 1.181851e+03 -4.053289e+05
1300 1.170372e+03 -4.179422e+05
1400 1.161241e+03 -4.234895e+05
1500 1.158293e+03 -4.187555e+05
1600 1.125263e+03 -4.133143e+05
1700 1.138211e+03 -4.035363e+05
1800 1.149908e+03 -4.028523e+05
1900 1.175868e+03 -4.111467e+05
0 1.164472e+03 -4.230266e+05
100 1.159438e+03 -4.193812e+05
200 1.155069e+03 -4.152889e+05
300 1.189159e+03 -4.179340e+05
400 1.142848e+03 -4.218190e+05
500 1.136413e+03 -4.101842e+05
600 1.155304e+03 -4.071672e+05
700 1.132395e+03 -4.177414e+05
800 1.160902e+03 -4.063912e+05
900 1.162433e+03 -4.150152e+05
1000 1.164096e+03 -4.149037e+05
1100 1.169968e+03 -4.154095e+05
1200 1.165686e+03 -4.078591e+05
1300 1.193294e+03 -4.209081e+05
1400 1.152384e+03 -4.312832e+05
1500 1.170746e+03 -4.176480e+05
1600 1.162212e+03 -4.287774e+05
1700 1.148142e+03 -4.158239e+05
1800 1.171885e+03 -4.048208e+05
1900 1.166271e+03 -4.197518e+05
2000 1.156055e+03 -4.125004e+05
2100 1.174826e+03 -4.138973e+05
2200 1.201453e+03 -4.186343e+05
2300 1.194578e+03 -4.323227e+05
2400 1.169604e+03 -4.387664e+05
2500 1.158720e+03 -4.234052e+05
2600 1.163723e+03 -4.265266e+05
2700 1.163562e+03 -4.168387e+05
2800 1.159220e+03 -4.216080e+05
2900 1.156744e+03 -4.221200e+05
3000 1.183675e+03 -4.137666e+05
3100 1.160181e+03 -4.325884e+05
3200 1.131830e+03 -4.193445e+05
3300 1.155469e+03 -4.043284e+05
3400 1.136026e+03 -4.231065e+05
3500 1.145886e+03 -4.124134e+05
3600 1.194982e+03 -4.221547e+05
3700 1.159316e+03 -4.262548e+05
3800 1.207323e+03 -4.104880e+05
3900 1.161040e+03 -4.287486e+05
4000 1.193722e+03 -4.184003e+05
4100 1.198895e+03 -4.253152e+05
4200 1.196209e+03 -4.273151e+05
4300 1.173612e+03 -4.303461e+05
4400 1.172107e+03 -4.228847e+05
4500 1.165543e+03 -4.135557e+05
4600 1.164671e+03 -4.167151e+05
4700 1.152519e+03 -4.248776e+05
4800 1.167668e+03 -4.137933e+05
4900 1.178499e+03 -4.147135e+05
5000 1.172223e+03 -4.359071e+05
5100 1.179896e+03 -4.413733e+05
5200 1.187107e+03 -4.502767e+05
5300 1.186348e+03 -4.436854e+05
5400 1.184218e+03 -4.348449e+05
5500 1.174057e+03 -4.462275e+05
5600 1.152360e+03 -4.290865e+05
5700 1.176816e+03 -4.121864e+05
5800 1.164219e+03 -4.220303e+05
5900 1.171059e+03 -4.238887e+05
