cycle density energy
0 7.391726e+01 -7.659218e+03
100 3.343087e+01 -2.912716e+03
200 3.332938e+01 -3.908315e+02
300 2.482327e+01 -1.035614e+03
400 2.018166e+01 -3.856229e+02
500 2.191770e+01 -4.981121e+02
600 1.980206e+01 -5.569917e+02
700 5.864036e+01 -5.906839e+02
800 3.858921e+01 -2.925242e+03
900 4.040335e+01 -2.233549e+03
1000 4.917865e+01 -8.052333e+02
1100 5.125440e+01 -3.491641e+03
1200 3.270733e+01 -1.774470e+03
1300 3.074379e+01 -8.098046e+02
1400 2.903268e+01 -7.462885e+02
1500 2.351922e+01 -1.925162e+02
1600 2.543857e+01 -4.918527e+02
1700 2.939109e+01 -4.720443e+02
1800 3.848992e+01 -6.206473e+02
1900 3.801637e+01 -1.830317e+03
0 5.118307e+01 -1.651505e+03
100 4.914545e+01 -2.889681e+03
200 3.631440e+01 -2.435097e+03
300 4.954354e+01 -4.932797e+02
400 3.477706e+01 -1.105541e+03
500 4.781721e+01 -1.296246e+03
600 5.621551e+01 -1.996130e+03
700 4.372679e+01 -3.605531e+03
800 3.426023e+01 -1.041751e+03
900 5.530170e+01 -7.025992e+02
1000 4.533346e+01 -2.882947e+03
1100 4.716721e+01 -2.034233e+03
1200 5.137406e+01 -1.314698e+03
1300 2.718263e+01 -3.749723e+03
1400 3.104326e+01 -5.364510e+02
1500 3.334941e+01 -7.624756e+02
1600 2.695830e+01 -1.264471e+03
1700 5.577344e+01 -4.267454e+02
1800 5.302373e+01 -4.132026e+03
1900 4.439397e+01 -3.107515e+03
2000 4.621536e+01 -3.190785e+03
2100 3.499464e+01 -9.149006e+02
2200 3.856321e+01 -1.530285e+03
2300 3.110060e+01 -2.137051e+03
2400 3.869857e+01 -8.365936e+02
2500 3.506055e+01 -1.837156e+03
2600 3.082866e+01 -4.968582e+02
2700 4.030725e+01 -2.877570e+02
2800 4.256074e+01 -2.070539e+03
2900 3.444704e+01 -6.729765e+02
3000 4.853500e+01 -1.495916e+03
3100 3.102707e+01 -9.496583e+02
3200 4.243729e+01 -2.156017e+03
3300 4.541170e+01 -3.035515e+03
3400 2.903778e+01 -1.112104e+03
3500 4.403983e+01 -9.055195e+01
3600 5.734276e+01 -2.577697e+03
3700 5.682753e+01 -2.657980e+03
3800 5.082375e+01 -1.701881e+03
3900 4.738582e+01 -3.991133e+03
4000 4.848494e+01 -8.828934e+02
4100 5.384688e+01 -2.113242e+03
4200 4.627974e+01 -2.796831e+03
4300 4.798292e+01 -3.726408e+03
4400 2.126336e+01 -3.289554e+03
4500 3.285803e+01 -8.749157e+02
4600 3.829454e+01 -2.103564e+03
4700 3.456653e+01 -1.181386e+03
4800 3.680276e+01 -1.383541e+03
4900 4.236485e+01 -1.515647e+03
5000 3.089660e+01 -1.557076e+03
5100 3.493880e+01 -9.073461e+02
5200 3.100263e+01 -8.732625e+02
5300 2.516826e+01 -7.467365e+02
5400 3.125379e+01 -1.459897e+03
5500 3.135977e+01 -8.053094e+02
5600 4.956303e+01 -4.771057e+02
5700 4.417518e+01 -3.912596e+03
5800 4.273034e+01 -3.189735e+03
5900 4.332166e+01 -2.714631e+03
