cycle density energy
0 5.782786e+02 -7.171709e+04
100 7.367482e+02 -1.136707e+05
200 8.130142e+02 -2.505920e+05
300 9.308372e+02 -2.855795e+05
400 9.852139e+02 -3.176464e+05
500 1.007487e+03 -3.336003e+05
600 1.025189e+03 -3.533505e+05
700 9.669981e+02 -3.512455e+05
800 1.041565e+03 -3.089530e+05
900 1.044030e+03 -3.456519e+05
1000 1.064555e+03 -3.442559e+05
1100 1.050316e+03 -3.454432e+05
1200 1.062278e+03 -3.403928e+05
1300 1.070101e+03 -3.525728e+05
1400 1.056455e+03 -3.598193e+05
1500 1.039845e+03 -3.647343e+05
1600 1.039172e+03 -3.616537e+05
1700 1.027356e+03 -3.644703e+05
1800 1.047909e+03 -3.515800e+05
1900 1.079751e+03 -3.453564e+05
0 1.053960e+03 -3.528410e+05
100 1.066365e+03 -3.444473e+05
200 1.069975e+03 -3.536044e+05
300 1.045213e+03 -3.653785e+05
400 1.047316e+03 -3.378498e+05
500 1.040333e+03 -3.466472e+05
600 1.070869e+03 -3.416389e+05
700 1.065188e+03 -3.485587e+05
800 1.085580e+03 -3.555833e+05
900 1.029319e+03 -3.642340e+05
1000 1.077777e+03 -3.266809e+05
1100 1.076185e+03 -3.497094e+05
1200 1.044280e+03 -3.433197e+05
1300 1.053259e+03 -3.335047e+05
1400 1.046084e+03 -3.666085e+05
1500 1.015927e+03 -3.387547e+05
1600 1.073798e+03 -3.343372e+05
1700 1.008486e+03 -3.635861e+05
1800 1.051955e+03 -3.237507e+05
1900 1.027089e+03 -3.320861e+05
2000 1.028239e+03 -3.339723e+05
2100 1.032319e+03 -3.306215e+05
2200 1.043215e+03 -3.467655e+05
2300 1.041659e+03 -3.426667e+05
2400 1.034702e+03 -3.465256e+05
2500 1.027896e+03 -3.397472e+05
2600 1.063136e+03 -3.382624e+05
2700 1.049962e+03 -3.565374e+05
2800 1.026135e+03 -3.532467e+05
2900 1.071297e+03 -3.384979e+05
3000 1.004424e+03 -3.508097e+05
3100 1.047343e+03 -3.316625e+05
3200 1.033127e+03 -3.487542e+05
3300 1.073109e+03 -3.413327e+05
3400 1.056024e+03 -3.625290e+05
3500 1.046822e+03 -3.611915e+05
3600 1.018842e+03 -3.357554e+05
3700 1.041725e+03 -3.240725e+05
3800 1.072871e+03 -3.371590e+05
3900 1.063743e+03 -3.507055e+05
4000 1.006814e+03 -3.415466e+05
4100 1.013198e+03 -3.264325e+05
4200 1.024870e+03 -3.188224e+05
4300 1.031720e+03 -3.390901e+05
4400 1.077648e+03 -3.375095e+05
4500 1.050856e+03 -3.765444e+05
4600 1.060721e+03 -3.582083e+05
4700 1.062435e+03 -3.450928e+05
4800 1.036639e+03 -3.541310e+05
4900 1.037293e+03 -3.461199e+05
5000 1.057652e+03 -3.310872e+05
5100 1.036109e+03 -3.560071e+05
5200 1.049252e+03 -3.531104e+05
5300 1.064797e+03 -3.477615e+05
5400 1.030096e+03 -3.705152e+05
5500 1.022310e+03 -3.565076e+05
5600 1.044208e+03 -3.433278e+05
5700 1.039154e+03 -3.348975e+05
5800 1.016747e+03 -3.387423e+05
5900 9.858518e+02 -3.263683e+05
